patrol_id,date_id,date,zone_id,ranger_id,hours_patrolled,sightings_count,risk_score
170,955,2025-08-12,8,17,4,5,0.46
171,403,2024-02-07,13,7,8,3,0.49
172,147,2023-05-27,20,10,4,0,0.15
173,864,2025-05-13,4,19,3,5,0.63
174,489,2024-05-03,5,24,3,3,0.69
175,929,2025-07-17,10,9,4,3,0.21
176,551,2024-07-04,5,15,3,3,0.28
177,338,2023-12-04,12,22,7,1,0.32
178,872,2025-05-21,1,17,8,2,0.43
179,641,2024-10-02,10,19,4,3,0.42
180,473,2024-04-17,5,9,8,0,0.26
181,151,2023-05-31,19,38,3,3,0.16
182,263,2023-09-20,19,19,8,1,0.33
183,144,2023-05-24,20,8,6,1,0.72
184,346,2023-12-12,12,6,5,5,0.15
185,624,2024-09-15,16,38,7,1,0.39
186,1017,2025-10-13,5,21,7,3,0.25
187,881,2025-05-30,17,29,5,3,0.67
188,2,2023-01-02,14,34,5,3,0.37
189,897,2025-06-15,12,12,8,2,0.42
190,254,2023-09-11,13,39,8,3,0.83
191,453,2024-03-28,14,32,6,4,0.59
192,1061,2025-11-26,5,6,8,1,0.76
193,1015,2025-10-11,5,17,5,3,0.65
194,9,2023-01-09,18,32,7,5,0.87
195,816,2025-03-26,14,8,6,2,0.56
196,208,2023-07-27,18,38,5,0,0.3
197,404,2024-02-08,20,29,6,1,0.66
198,152,2023-06-01,1,31,6,3,0.76
199,54,2023-02-23,7,19,8,3,0.87
200,628,2024-09-19,17,9,8,0,0.59
201,587,2024-08-09,3,28,3,2,0.76
202,104,2023-04-14,10,39,5,4,0.67
203,254,2023-09-11,7,40,8,0,0.72
204,510,2024-05-24,12,31,3,2,0.58
205,99,2023-04-09,15,19,8,5,0.33
206,153,2023-06-02,16,33,7,2,0.17
207,914,2025-07-02,8,26,6,5,0.68
208,878,2025-05-27,6,1,7,3,0.76
209,338,2023-12-04,4,11,6,5,0.72
210,822,2025-04-01,11,2,5,3,0.13
211,957,2025-08-14,17,35,4,1,0.14
212,161,2023-06-10,2,13,5,3,0.18
213,801,2025-03-11,6,39,6,5,0.76
214,398,2024-02-02,4,34,4,5,0.59
215,816,2025-03-26,3,34,4,3,0.57
216,401,2024-02-05,7,35,5,2,0.27
217,640,2024-10-01,7,32,7,3,0.16
218,1057,2025-11-22,16,12,5,3,0.74
219,688,2024-11-18,2,33,6,3,0.76
220,460,2024-04-04,8,18,7,5,0.3
221,955,2025-08-12,15,5,6,4,0.76
222,470,2024-04-14,16,19,8,4,0.35
223,1046,2025-11-11,1,31,8,1,0.75
224,750,2025-01-19,10,27,7,5,0.15
225,38,2023-02-07,7,38,3,0,0.38
226,230,2023-08-18,16,15,7,2,0.72
227,563,2024-07-16,10,4,3,1,0.33
228,438,2024-03-13,12,19,6,2,0.13
229,27,2023-01-27,17,21,5,0,0.22
230,226,2023-08-14,13,40,6,0,0.87
231,798,2025-03-08,12,1,5,5,0.58
232,284,2023-10-11,15,20,8,1,0.24
233,879,2025-05-28,14,22,3,4,0.62
234,960,2025-08-17,19,13,5,4,0.6
235,453,2024-03-28,19,1,6,4,0.43
236,1020,2025-10-16,14,15,6,3,0.63
237,816,2025-03-26,18,15,6,3,0.19
238,659,2024-10-20,5,14,7,1,0.36
239,547,2024-06-30,20,5,6,3,0.13
240,1073,2025-12-08,6,6,7,2,0.83
241,17,2023-01-17,18,31,4,1,0.81
242,158,2023-06-07,14,26,3,1,0.26
243,477,2024-04-21,4,25,4,0,0.67
244,1070,2025-12-05,1,39,4,0,0.75
245,518,2024-06-01,13,40,7,1,0.43
246,99,2023-04-09,11,15,7,4,0.75
247,1061,2025-11-26,3,6,3,0,0.49
248,280,2023-10-07,17,1,3,3,0.74
249,497,2024-05-11,18,7,8,1,0.71
250,302,2023-10-29,10,4,3,2,0.55
251,181,2023-06-30,16,1,6,1,0.51
252,607,2024-08-29,13,2,6,2,0.33
253,700,2024-11-30,20,34,3,0,0.43
254,993,2025-09-19,12,35,7,4,0.41
255,191,2023-07-10,4,13,4,5,0.18
256,253,2023-09-10,8,17,3,2,0.52
257,981,2025-09-07,12,10,8,4,0.56
258,928,2025-07-16,19,3,3,5,0.88
259,128,2023-05-08,15,4,4,2,0.33
260,18,2023-01-18,16,25,5,4,0.42
261,566,2024-07-19,12,37,3,2,0.54
262,570,2024-07-23,20,38,3,1,0.78
263,686,2024-11-16,18,29,6,5,0.31
264,626,2024-09-17,12,1,4,1,0.29
265,854,2025-05-03,16,30,8,0,0.53
266,962,2025-08-19,20,39,3,1,0.2
267,155,2023-06-04,11,10,8,3,0.66
268,490,2024-05-04,20,29,3,0,0.79
269,785,2025-02-23,14,32,5,1,0.12
270,246,2023-09-03,2,1,4,1,0.26
271,1063,2025-11-28,13,17,3,3,0.56
272,759,2025-01-28,14,12,5,4,0.76
273,538,2024-06-21,6,2,3,1,0.49
274,921,2025-07-09,12,9,7,2,0.73
275,408,2024-02-12,7,12,5,4,0.44
276,525,2024-06-08,4,25,8,2,0.41
277,828,2025-04-07,7,36,7,5,0.25
278,903,2025-06-21,13,35,3,4,0.22
279,36,2023-02-05,11,22,5,5,0.7
280,685,2024-11-15,8,33,4,2,0.24
281,20,2023-01-20,19,21,8,1,0.43
282,321,2023-11-17,2,40,6,5,0.54
283,512,2024-05-26,18,22,3,2,0.31
284,400,2024-02-04,10,28,5,1,0.77
285,654,2024-10-15,6,4,7,3,0.42
286,972,2025-08-29,4,26,5,2,0.4
287,471,2024-04-15,19,23,4,0,0.24
288,834,2025-04-13,14,23,5,0,0.28
289,727,2024-12-27,14,8,7,2,0.33
290,854,2025-05-03,18,32,3,1,0.38
291,51,2023-02-20,17,39,8,4,0.66
292,575,2024-07-28,18,1,7,3,0.9
293,150,2023-05-30,18,30,8,2,0.51
294,314,2023-11-10,5,28,8,5,0.66
295,570,2024-07-23,9,17,7,3,0.29
296,305,2023-11-01,1,23,7,1,0.86
297,682,2024-11-12,4,38,6,0,0.75
298,838,2025-04-17,7,24,8,1,0.65
299,1078,2025-12-13,11,22,3,1,0.35
300,1003,2025-09-29,14,5,6,2,0.17
301,444,2024-03-19,10,25,8,3,0.87
302,613,2024-09-04,19,7,5,4,0.68
303,993,2025-09-19,8,22,3,3,0.21
304,264,2023-09-21,3,37,3,4,0.54
305,1077,2025-12-12,8,34,8,0,0.59
306,1004,2025-09-30,18,36,5,3,0.45
307,5,2023-01-05,5,40,5,4,0.48
308,774,2025-02-12,20,20,7,3,0.54
309,877,2025-05-26,11,37,8,1,0.74
310,992,2025-09-18,9,17,8,0,0.75
311,884,2025-06-02,19,4,3,3,0.87
312,47,2023-02-16,12,18,4,5,0.24
313,867,2025-05-16,5,28,8,1,0.19
314,823,2025-04-02,16,16,7,5,0.59
315,936,2025-07-24,13,8,3,1,0.66
316,656,2024-10-17,6,18,5,0,0.37
317,269,2023-09-26,16,29,5,3,0.89
318,370,2024-01-05,18,40,4,5,0.77
319,636,2024-09-27,17,16,3,2,0.49
320,657,2024-10-18,12,30,6,2,0.68
321,120,2023-04-30,1,34,7,5,0.46
322,831,2025-04-10,7,30,3,2,0.26
323,1082,2025-12-17,14,21,6,1,0.23
324,741,2025-01-10,18,22,5,3,0.33
325,117,2023-04-27,1,25,5,4,0.82
326,791,2025-03-01,20,22,6,3,0.4
327,1013,2025-10-09,10,28,6,0,0.83
328,1082,2025-12-17,15,39,4,4,0.74
329,634,2024-09-25,11,33,3,0,0.59
330,513,2024-05-27,4,2,5,5,0.82
331,802,2025-03-12,15,4,7,5,0.25
332,560,2024-07-13,16,16,5,3,0.16
333,488,2024-05-02,15,12,3,0,0.7
334,897,2025-06-15,17,17,6,1,0.82
335,704,2024-12-04,11,36,4,2,0.41
336,581,2024-08-03,18,16,5,3,0.1
337,790,2025-02-28,16,39,4,4,0.71
338,861,2025-05-10,15,23,6,4,0.39
339,247,2023-09-04,11,8,8,0,0.57
340,154,2023-06-03,13,9,3,2,0.27
341,997,2025-09-23,18,14,5,5,0.65
342,697,2024-11-27,8,9,3,3,0.53
343,1093,2025-12-28,9,26,7,1,0.12
344,1071,2025-12-06,11,36,3,0,0.1
345,1009,2025-10-05,17,3,8,3,0.45
346,94,2023-04-04,1,10,6,3,0.23
347,958,2025-08-15,11,25,6,5,0.82
348,1012,2025-10-08,7,4,7,2,0.18
349,453,2024-03-28,8,30,3,4,0.67
350,912,2025-06-30,19,11,8,5,0.38
351,218,2023-08-06,4,19,6,2,0.85
352,474,2024-04-18,4,13,6,0,0.21
353,432,2024-03-07,19,36,6,0,0.72
354,341,2023-12-07,9,3,6,5,0.87
355,551,2024-07-04,17,14,4,2,0.87
356,357,2023-12-23,18,10,5,3,0.3
357,23,2023-01-23,1,38,4,4,0.34
358,522,2024-06-05,14,40,6,0,0.22
359,802,2025-03-12,4,27,8,2,0.4
360,762,2025-01-31,10,24,3,0,0.65
361,442,2024-03-17,14,16,4,4,0.11
362,769,2025-02-07,7,10,7,5,0.62
363,1016,2025-10-12,12,27,5,1,0.11
364,516,2024-05-30,16,7,3,1,0.63
365,1040,2025-11-05,5,28,4,5,0.77
366,792,2025-03-02,11,26,5,3,0.39
367,336,2023-12-02,4,18,8,3,0.43
368,258,2023-09-15,13,13,4,1,0.68
369,497,2024-05-11,8,8,7,4,0.75
370,896,2025-06-14,7,27,6,2,0.9
371,160,2023-06-09,11,14,7,2,0.53
372,852,2025-05-01,11,6,6,5,0.78
373,690,2024-11-20,17,20,5,4,0.14
374,380,2024-01-15,14,28,4,2,0.19
375,957,2025-08-14,2,23,4,3,0.8
376,691,2024-11-21,20,12,7,2,0.4
377,1067,2025-12-02,8,24,3,5,0.28
378,285,2023-10-12,2,22,5,2,0.42
379,397,2024-02-01,15,26,8,3,0.52
380,12,2023-01-12,5,22,6,5,0.36
381,499,2024-05-13,6,7,5,0,0.26
382,754,2025-01-23,17,15,8,5,0.13
383,35,2023-02-04,8,30,7,1,0.71
384,727,2024-12-27,19,4,8,2,0.82
385,849,2025-04-28,5,6,4,1,0.11
386,90,2023-03-31,19,2,6,1,0.38
387,776,2025-02-14,14,31,6,4,0.81
388,605,2024-08-27,10,24,8,4,0.12
389,970,2025-08-27,13,35,6,4,0.69
390,1022,2025-10-18,5,31,6,5,0.29
391,418,2024-02-22,7,25,5,0,0.72
392,115,2023-04-25,10,8,5,0,0.64
393,617,2024-09-08,11,12,8,1,0.85
394,826,2025-04-05,3,2,7,1,0.35
395,413,2024-02-17,13,15,8,1,0.22
396,729,2024-12-29,2,40,8,1,0.5
397,1021,2025-10-17,4,32,4,3,0.89
398,761,2025-01-30,3,11,8,1,0.13
399,676,2024-11-06,15,17,8,4,0.24
400,457,2024-04-01,4,21,4,1,0.79
401,920,2025-07-08,4,22,5,5,0.65
402,192,2023-07-11,15,33,7,4,0.44
403,739,2025-01-08,6,29,3,4,0.49
404,978,2025-09-04,5,15,8,1,0.3
405,1009,2025-10-05,12,21,8,1,0.87
406,96,2023-04-06,7,2,8,2,0.37
407,663,2024-10-24,3,38,6,4,0.4
408,37,2023-02-06,7,3,8,1,0.48
409,279,2023-10-06,12,25,4,5,0.27
410,217,2023-08-05,15,13,6,5,0.26
411,867,2025-05-16,19,24,4,1,0.58
412,873,2025-05-22,6,31,8,2,0.72
413,62,2023-03-03,8,15,3,3,0.7
414,596,2024-08-18,6,6,8,4,0.55
415,729,2024-12-29,3,10,4,4,0.61
416,397,2024-02-01,5,9,8,2,0.55
417,699,2024-11-29,9,5,3,3,0.8
418,1043,2025-11-08,16,19,4,0,0.41
419,177,2023-06-26,16,20,5,5,0.2
420,396,2024-01-31,9,33,6,5,0.45
421,445,2024-03-20,18,37,7,2,0.8
422,76,2023-03-17,13,31,7,1,0.82
423,265,2023-09-22,11,39,4,1,0.57
424,455,2024-03-30,10,13,7,1,0.15
425,718,2024-12-18,10,38,8,0,0.68
426,735,2025-01-04,6,6,6,1,0.62
427,851,2025-04-30,16,8,5,0,0.46
428,144,2023-05-24,12,10,5,2,0.23
429,885,2025-06-03,4,4,3,0,0.59
430,1093,2025-12-28,5,14,7,1,0.49
431,396,2024-01-31,2,4,8,4,0.15
432,1049,2025-11-14,19,24,6,1,0.42
433,948,2025-08-05,1,21,7,5,0.85
434,891,2025-06-09,4,10,6,0,0.43
435,569,2024-07-22,12,25,3,5,0.44
436,1063,2025-11-28,2,6,8,0,0.55
437,109,2023-04-19,12,16,7,3,0.34
438,1066,2025-12-01,16,28,5,3,0.16
439,935,2025-07-23,2,36,3,3,0.58
440,398,2024-02-02,17,33,8,1,0.5
441,634,2024-09-25,2,30,7,0,0.65
442,733,2025-01-02,4,36,5,3,0.48
443,235,2023-08-23,6,25,5,4,0.3
444,658,2024-10-19,7,13,6,2,0.41
445,751,2025-01-20,15,39,5,2,0.11
446,588,2024-08-10,20,15,4,3,0.22
447,1033,2025-10-29,12,38,7,3,0.73
448,954,2025-08-11,5,30,7,3,0.85
449,492,2024-05-06,14,14,6,2,0.39
450,913,2025-07-01,16,4,5,3,0.84
451,170,2023-06-19,11,1,6,5,0.61
452,946,2025-08-03,12,3,4,4,0.32
453,795,2025-03-05,19,36,6,4,0.58
454,634,2024-09-25,17,4,7,4,0.75
455,29,2023-01-29,7,14,8,4,0.73
456,339,2023-12-05,9,25,8,5,0.81
457,500,2024-05-14,14,39,6,5,0.73
458,511,2024-05-25,20,3,7,0,0.66
459,217,2023-08-05,12,7,3,3,0.41
460,1094,2025-12-29,15,8,4,1,0.24
461,445,2024-03-20,12,7,4,0,0.19
462,876,2025-05-25,13,25,7,1,0.75
463,167,2023-06-16,9,17,8,1,0.71
464,91,2023-04-01,7,26,3,0,0.82
465,714,2024-12-14,1,4,5,3,0.16
466,39,2023-02-08,10,18,6,0,0.61
467,173,2023-06-22,6,4,5,2,0.68
468,653,2024-10-14,15,17,3,5,0.43
469,754,2025-01-23,15,17,4,4,0.53
470,1082,2025-12-17,9,25,5,5,0.5
471,476,2024-04-20,13,3,3,5,0.45
472,456,2024-03-31,1,12,4,5,0.33
473,829,2025-04-08,9,27,8,5,0.89
474,895,2025-06-13,3,17,5,0,0.81
475,1025,2025-10-21,9,22,8,0,0.73
476,387,2024-01-22,20,39,4,2,0.77
477,348,2023-12-14,15,39,7,4,0.77
478,190,2023-07-09,7,36,4,1,0.16
479,505,2024-05-19,4,16,4,2,0.56
480,824,2025-04-03,20,37,3,3,0.48
481,929,2025-07-17,17,29,3,0,0.26
482,934,2025-07-22,4,14,6,0,0.31
483,134,2023-05-14,19,7,3,2,0.21
484,58,2023-02-27,5,28,7,0,0.48
485,685,2024-11-15,16,13,7,4,0.31
486,672,2024-11-02,3,16,8,4,0.27
487,173,2023-06-22,11,21,4,5,0.54
488,815,2025-03-25,15,4,3,2,0.27
489,80,2023-03-21,19,39,6,2,0.57
490,886,2025-06-04,14,35,3,5,0.22
491,203,2023-07-22,16,15,6,2,0.66
492,764,2025-02-02,6,26,4,3,0.34
493,47,2023-02-16,5,7,8,0,0.71
494,656,2024-10-17,17,18,8,1,0.74
495,471,2024-04-15,16,25,7,1,0.89
496,971,2025-08-28,2,37,3,1,0.11
497,1036,2025-11-01,11,21,3,2,0.75
498,736,2025-01-05,4,8,7,3,0.49
499,784,2025-02-22,6,20,7,3,0.2
500,968,2025-08-25,7,18,8,1,0.71
501,358,2023-12-24,17,19,8,1,0.15
502,972,2025-08-29,8,3,8,3,0.79
503,668,2024-10-29,1,38,5,5,0.61
504,373,2024-01-08,15,18,5,2,0.25
505,1032,2025-10-28,20,27,5,2,0.64
506,676,2024-11-06,12,15,7,1,0.23
507,90,2023-03-31,15,21,5,4,0.55
508,698,2024-11-28,15,22,3,2,0.1
509,540,2024-06-23,9,8,7,4,0.85
510,732,2025-01-01,16,11,3,0,0.15
511,869,2025-05-18,2,12,7,2,0.7
512,41,2023-02-10,15,39,4,4,0.66
513,740,2025-01-09,15,27,3,0,0.62
514,502,2024-05-16,7,35,7,0,0.13
515,959,2025-08-16,13,2,6,1,0.62
516,929,2025-07-17,17,35,7,4,0.59
517,461,2024-04-05,11,31,4,1,0.61
518,732,2025-01-01,10,8,7,5,0.53
519,752,2025-01-21,1,20,4,0,0.36
520,925,2025-07-13,14,8,5,2,0.29
521,909,2025-06-27,5,4,3,2,0.47
522,390,2024-01-25,8,31,4,2,0.41
523,883,2025-06-01,1,32,6,4,0.65
524,256,2023-09-13,7,13,3,3,0.32
525,709,2024-12-09,2,22,7,5,0.73
526,450,2024-03-25,7,26,7,5,0.88
527,10,2023-01-10,7,17,4,1,0.66
528,824,2025-04-03,9,29,6,3,0.51
529,798,2025-03-08,4,27,4,3,0.24
530,877,2025-05-26,7,22,6,0,0.89
531,1029,2025-10-25,20,18,8,1,0.32
532,1016,2025-10-12,18,5,4,0,0.55
533,374,2024-01-09,13,12,5,3,0.45
534,1089,2025-12-24,11,2,5,5,0.26
535,146,2023-05-26,9,7,5,0,0.72
536,224,2023-08-12,14,26,4,0,0.19
537,177,2023-06-26,8,39,3,4,0.44
538,853,2025-05-02,14,15,7,1,0.27
539,63,2023-03-04,17,33,3,1,0.54
540,827,2025-04-06,14,3,7,3,0.79
541,795,2025-03-05,5,2,6,2,0.81
542,689,2024-11-19,10,17,5,0,0.52
543,105,2023-04-15,6,1,5,1,0.29
544,511,2024-05-25,10,36,7,2,0.41
545,385,2024-01-20,11,17,5,1,0.65
546,405,2024-02-09,6,2,3,5,0.33
547,823,2025-04-02,10,33,4,3,0.22
548,518,2024-06-01,14,29,5,5,0.32
549,476,2024-04-20,20,6,8,0,0.2
550,709,2024-12-09,3,36,5,4,0.32
551,771,2025-02-09,7,24,8,3,0.13
552,1047,2025-11-12,2,11,6,3,0.15
553,997,2025-09-23,7,5,4,3,0.79
554,677,2024-11-07,17,30,7,2,0.24
555,714,2024-12-14,13,10,4,3,0.78
556,83,2023-03-24,9,37,4,4,0.9
557,457,2024-04-01,13,27,7,5,0.41
558,1,2023-01-01,15,27,4,0,0.46
559,51,2023-02-20,13,24,6,1,0.33
560,685,2024-11-15,17,3,8,2,0.2
561,717,2024-12-17,8,38,3,3,0.61
562,449,2024-03-24,9,26,4,1,0.78
563,881,2025-05-30,9,39,3,5,0.64
564,488,2024-05-02,8,18,6,3,0.19
565,34,2023-02-03,16,3,6,0,0.59
566,95,2023-04-05,20,38,4,4,0.61
567,154,2023-06-03,7,25,5,4,0.65
568,250,2023-09-07,17,13,4,5,0.16
569,674,2024-11-04,7,25,3,2,0.66
570,438,2024-03-13,6,24,6,1,0.58
571,118,2023-04-28,5,16,3,1,0.79
572,771,2025-02-09,17,11,3,4,0.23
573,268,2023-09-25,8,21,7,0,0.15
574,1078,2025-12-13,1,31,6,2,0.75
575,236,2023-08-24,16,15,6,3,0.18
576,389,2024-01-24,17,36,3,5,0.4
577,990,2025-09-16,3,1,8,2,0.8
578,763,2025-02-01,13,28,6,4,0.32
579,401,2024-02-05,8,33,8,5,0.45
580,624,2024-09-15,16,3,8,3,0.59
581,767,2025-02-05,7,15,4,2,0.61
582,919,2025-07-07,15,33,7,0,0.58
583,853,2025-05-02,2,32,4,1,0.15
584,578,2024-07-31,2,23,5,3,0.72
585,75,2023-03-16,10,26,5,2,0.74
586,435,2024-03-10,5,17,8,0,0.18
587,103,2023-04-13,4,9,3,2,0.69
588,764,2025-02-02,15,5,8,3,0.5
589,738,2025-01-07,13,29,5,0,0.11
590,806,2025-03-16,17,6,4,5,0.66
591,98,2023-04-08,1,35,5,1,0.47
592,798,2025-03-08,18,21,3,0,0.2
593,859,2025-05-08,15,23,6,2,0.24
594,435,2024-03-10,14,35,7,2,0.71
595,447,2024-03-22,9,2,3,2,0.86
596,249,2023-09-06,12,9,3,5,0.23
597,166,2023-06-15,5,13,3,2,0.42
598,984,2025-09-10,2,34,4,2,0.36
599,1020,2025-10-16,7,16,6,5,0.57
600,542,2024-06-25,9,5,3,4,0.26
601,759,2025-01-28,18,1,6,0,0.56
602,81,2023-03-22,4,40,8,0,0.76
